time; pid; rtt; vtt 
2024-06-11 13:11:03,567; 38804; 173518848.00; 4536430592.00
2024-06-11 13:11:03,571; 38804; 173789184.00; 4536430592.00
2024-06-11 13:11:03,574; 38804; 174104576.00; 4536430592.00
2024-06-11 13:11:03,578; 38804; 174379008.00; 4536430592.00
2024-06-11 13:11:03,582; 38804; 174743552.00; 4536430592.00
2024-06-11 13:11:03,587; 38804; 174788608.00; 4536430592.00
2024-06-11 13:11:03,591; 38804; 175300608.00; 4536430592.00
2024-06-11 13:11:03,595; 38804; 175689728.00; 4536430592.00
2024-06-11 13:11:03,599; 38804; 175996928.00; 4536430592.00
2024-06-11 13:11:03,603; 38804; 176205824.00; 4536430592.00
2024-06-11 13:11:03,609; 38804; 177070080.00; 4536430592.00
2024-06-11 13:11:03,615; 38804; 177393664.00; 4536430592.00
2024-06-11 13:11:03,620; 38804; 177676288.00; 4536430592.00
2024-06-11 13:11:03,625; 38804; 178032640.00; 4536430592.00
2024-06-11 13:11:03,630; 38804; 178343936.00; 4536430592.00
2024-06-11 13:11:03,634; 38804; 178552832.00; 4536430592.00
2024-06-11 13:11:03,638; 38804; 178831360.00; 4536430592.00
2024-06-11 13:11:03,641; 38804; 179097600.00; 4536430592.00
2024-06-11 13:11:03,646; 38804; 179576832.00; 4536430592.00
2024-06-11 13:11:03,649; 38804; 179990528.00; 4536430592.00
2024-06-11 13:11:03,654; 38804; 180224000.00; 4536430592.00
2024-06-11 13:11:03,658; 38804; 180490240.00; 4536430592.00
2024-06-11 13:11:03,661; 38804; 180645888.00; 4536430592.00
2024-06-11 13:11:03,665; 38804; 181022720.00; 4536430592.00
2024-06-11 13:11:03,669; 38804; 181288960.00; 4536430592.00
2024-06-11 13:11:03,673; 38804; 181555200.00; 4536430592.00
2024-06-11 13:11:03,679; 38804; 182022144.00; 4536430592.00
2024-06-11 13:11:03,687; 38804; 182714368.00; 4536430592.00
2024-06-11 13:11:03,692; 38804; 183128064.00; 4536430592.00
2024-06-11 13:11:03,697; 38804; 184012800.00; 4536430592.00
2024-06-11 13:11:03,702; 38804; 184758272.00; 4536430592.00
2024-06-11 13:11:03,706; 38804; 185393152.00; 4536430592.00
2024-06-11 13:11:03,710; 38804; 185729024.00; 4536430592.00
2024-06-11 13:11:03,714; 38804; 186064896.00; 4536430592.00
2024-06-11 13:11:03,718; 38804; 187052032.00; 4536430592.00
2024-06-11 13:11:03,725; 38804; 189059072.00; 4536430592.00
2024-06-11 13:11:03,729; 38804; 189165568.00; 4536430592.00
2024-06-11 13:11:03,732; 38804; 189321216.00; 4536430592.00
2024-06-11 13:11:03,736; 38804; 189394944.00; 4536430592.00
2024-06-11 13:11:03,739; 38804; 189517824.00; 4536430592.00
2024-06-11 13:11:03,746; 38804; 190418944.00; 4536430592.00
2024-06-11 13:11:03,750; 38804; 190537728.00; 4536430592.00
2024-06-11 13:11:03,754; 38804; 190603264.00; 4536430592.00
2024-06-11 13:11:03,757; 38804; 190685184.00; 4536430592.00
2024-06-11 13:11:03,761; 38804; 190685184.00; 4536430592.00
2024-06-11 13:11:03,764; 38804; 190685184.00; 4536430592.00
2024-06-11 13:11:03,768; 38804; 190775296.00; 4536430592.00
2024-06-11 13:11:03,772; 38804; 190865408.00; 4536430592.00
2024-06-11 13:11:03,775; 38804; 191094784.00; 4536430592.00
2024-06-11 13:11:03,779; 38804; 191094784.00; 4536430592.00
2024-06-11 13:11:03,783; 38804; 191172608.00; 4536430592.00
2024-06-11 13:11:03,786; 38804; 191524864.00; 4536430592.00
2024-06-11 13:11:03,790; 38804; 191524864.00; 4536430592.00
2024-06-11 13:11:03,794; 38804; 191528960.00; 4536430592.00
2024-06-11 13:11:03,798; 38804; 191528960.00; 4536430592.00
2024-06-11 13:11:03,801; 38804; 191606784.00; 4536430592.00
2024-06-11 13:11:03,805; 38804; 191606784.00; 4536430592.00
2024-06-11 13:11:03,809; 38804; 191606784.00; 4536430592.00
2024-06-11 13:11:03,814; 38804; 194580480.00; 4540268544.00
